MAP|5.2|2011/03/21  05:54:12| 36.205| 142.098|  37.1|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|5.3|2011/03/21  05:08:03| 36.182| 141.613|  17.8|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/21  02:37:20| 40.243| 143.666|  17.3|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.6|2011/03/20  23:34:31| 13.280| 120.242|  40.2|MINDORO, PHILIPPINES
MAP|4.5|2011/03/20  21:53:08| 29.937|  51.240|  10.0|SOUTHERN IRAN
MAP|4.8|2011/03/20  20:47:30| 36.730| 141.946|  26.3|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.1|2011/03/20  20:17:57| 37.007| 141.908|  34.4|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.5|2011/03/20  20:05:24| 37.146| 141.321|  26.1|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/20  19:54:21| 37.276| 140.914|  33.5|EASTERN HONSHU, JAPAN
MAP|4.8|2011/03/20  17:33:18| 37.765| 143.440|  39.7|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|5.3|2011/03/20  17:08:57| 37.152| 143.845|  34.8|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.6|2011/03/20  16:44:38| 37.136| 143.480|   5.2|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.6|2011/03/20  16:40:43| 36.264| 141.549|  24.5|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.9|2011/03/20  16:05:09| 39.069| 143.163|  20.2|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/20  15:54:13| 36.191| 141.911|   5.5|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.9|2011/03/20  15:51:22| 36.392| 143.352|  31.5|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.4|2011/03/20  15:49:48| 37.430| 143.915|  10.0|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.5|2011/03/20  15:36:52| 37.272| 142.511|  36.0|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|5.0|2011/03/20  15:13:55| 36.416| 143.421|  33.7|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.5|2011/03/20  15:06:12| 35.438| 141.527|  11.7|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/20  14:54:48| 35.285| 141.077|  45.2|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.0|2011/03/20  14:48:54| 35.346| 140.945|  38.5|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/20  12:43:31| 37.396| 141.532|  40.3|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.8|2011/03/20  12:03:47| 39.409| 141.958|  45.7|EASTERN HONSHU, JAPAN
MAP|4.9|2011/03/20  10:58:30| 37.284| 143.895|  30.4|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|5.1|2011/03/20  10:35:53| 35.184| 141.200|  19.2|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.5|2011/03/20  09:50:03| 37.774| 141.778|  39.1|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|3.7|2011/03/20  09:42:32| 51.460|-174.711|  27.8|ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA
MAP|4.6|2011/03/20  09:21:03|  2.343| 128.354| 135.8|HALMAHERA, INDONESIA
MAP|4.7|2011/03/20  08:27:59| 39.473| 142.399|  33.2|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.9|2011/03/20  08:26:10| 19.035| 121.250|  31.4|BABUYAN ISLANDS REGION, PHILIPPINES
MAP|4.6|2011/03/20  08:23:37| 36.262| 141.764|  20.5|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.5|2011/03/20  08:00:50| 22.396| 121.421|  17.3|TAIWAN REGION
MAP|5.3|2011/03/20  07:56:30| 36.213| 141.760|  28.9|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.9|2011/03/20  07:54:29| 40.851| 141.972|  65.5|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.9|2011/03/20  07:27:21| 36.622| 143.219|  27.0|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/20  07:24:05| 52.072| 160.417|  35.2|OFF THE EAST COAST OF KAMCHATKA, RUSSIA
MAP|5.2|2011/03/20  05:58:05| 35.281| 140.973|  27.3|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.4|2011/03/20  05:55:30| 37.725| 141.378|  51.0|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.7|2011/03/20  05:20:04| 37.082| 140.588|  53.3|EASTERN HONSHU, JAPAN
MAP|4.6|2011/03/20  04:42:36| 39.455| 142.666|  30.0|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.6|2011/03/20  03:06:39| 38.331| 144.805|  25.6|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|5.5|2011/03/20  01:30:45| 36.945| 141.182|  22.8|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.0|2011/03/20  01:24:44| 37.411| 141.761|  31.3|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|5.2|2011/03/20  01:09:45| 39.173| 142.411|  36.9|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/20  01:05:29| 39.321| 142.178|  30.4|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.9|2011/03/19  23:37:13| 38.698| 141.756|  59.5|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.8|2011/03/19  23:26:51| 37.192| 142.045|  27.8|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.7|2011/03/19  22:06:49| 37.623| 144.317|  40.9|OFF THE EAST COAST OF HONSHU, JAPAN
MAP|4.7|2011/03/19  20:48:28| 37.724| 141.694|  59.6|NEAR THE EAST COAST OF HONSHU, JAPAN
MAP|4.6|2011/03/19  20:14:21| 52.952| 160.411|  62.4|OFF THE EAST COAST OF KAMCHATKA, RUSSIA
MAP|5.0|2011/03/19  20:08:11|  6.680|  38.499|  14.9|ETHIOPIA
